City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,280.88,100,100,4.63,US,1698792611
1,waitangi,-43.9535,-176.5597,287.49,95,100,5.36,NZ,1698792611
2,susuman,62.7833,148.1667,255.92,99,96,1.34,RU,1698792612
3,murun-kuren,49.6342,100.1625,275.53,81,97,3.1,MN,1698792613
4,tura,25.5198,90.2201,292.8,71,0,1.37,IN,1698792613
5,newman,37.3138,-121.0208,297.12,34,100,0.45,US,1698792614
6,edinburgh of the seven seas,-37.0676,-12.3116,286.84,92,14,8.08,SH,1698792614
7,west island,-12.1568,96.8225,299.14,83,75,5.14,CC,1698792615
8,antonio enes,-16.2325,39.9086,297.75,75,11,3.36,MZ,1698792615
9,kone,-21.0595,164.8658,299.75,44,44,0.86,NC,1698792616
10,brookings,44.3114,-96.7984,272.09,66,0,2.57,US,1698792505
11,grytviken,-54.2811,-36.5092,274.24,94,97,1.01,GS,1698792616
12,sur,22.5667,59.5289,298.3,61,3,1.21,OM,1698792617
13,hawaiian paradise park,19.5933,-154.9731,302.06,72,20,5.14,US,1698792435
14,iqaluit,63.7506,-68.5145,266.0,79,75,11.83,CA,1698792618
15,uray,60.1247,64.7758,266.97,69,100,2.68,RU,1698792618
16,yellowknife,62.456,-114.3525,269.44,63,75,6.69,CA,1698792619
17,lazaro cardenas,17.9583,-102.2,301.46,77,33,2.53,MX,1698792619
18,mantua,45.1667,10.7833,285.56,88,0,1.34,IT,1698792620
19,punta arenas,-53.15,-70.9167,282.21,49,40,10.29,CL,1698792426
20,gornyy,55.1153,83.9059,263.14,97,28,1.17,RU,1698792621
21,selebi-phikwe,-21.979,27.8498,285.73,88,97,5.16,BW,1698792621
22,lihue,21.9789,-159.3672,300.92,63,0,3.6,US,1698792622
23,santa ana,33.7456,-117.8678,305.6,12,20,4.63,US,1698792622
24,whitehorse,60.7161,-135.0538,275.94,94,100,1.54,CA,1698792471
25,olonkinbyen,70.9221,-8.7187,275.34,74,100,4.99,SJ,1698792623
26,kapa'a,22.0752,-159.319,301.33,62,0,3.6,US,1698792623
27,qarazhal,48.0078,70.7903,275.77,87,100,7.06,KZ,1698792624
28,port alfred,-33.5906,26.891,289.36,86,75,0.89,ZA,1698792624
29,igarka,67.4667,86.5833,255.09,97,59,2.61,RU,1698792625
30,adamstown,-25.066,-130.1015,295.81,68,19,4.73,PN,1698792625
31,stanley,54.868,-1.6985,279.69,92,75,1.03,GB,1698792626
32,luganville,-15.5333,167.1667,299.32,82,84,6.41,VU,1698792626
33,galle,6.0367,80.217,297.29,92,100,2.4,LK,1698792627
34,meiganga,6.5167,14.3,294.02,76,83,0.53,CM,1698792350
35,saipan,15.1355,145.701,301.54,89,40,4.12,MP,1698792627
36,badger,64.8,-147.5333,275.21,77,0,0.0,US,1698792628
37,luderitz,-26.6481,15.1594,289.52,65,7,0.65,NA,1698792628
38,port-aux-francais,-49.35,70.2167,276.97,94,100,13.96,TF,1698792629
39,tazovsky,67.4667,78.7,258.87,93,100,3.68,RU,1698792629
40,college,64.8569,-147.8028,275.26,74,75,0.45,US,1698792630
41,wailua homesteads,22.0669,-159.378,300.59,62,0,3.6,US,1698792630
42,kingston,17.997,-76.7936,302.68,79,40,3.6,JM,1698792631
43,port mathurin,-19.6833,63.4167,297.98,79,1,6.99,MU,1698792631
44,anadyr,64.75,177.4833,270.43,100,75,4.0,RU,1698792632
45,holualoa,19.6228,-155.9522,301.07,78,20,5.14,US,1698792632
46,ketchikan,55.3422,-131.6461,280.41,70,75,0.0,US,1698792633
47,utrik,11.2278,169.8474,301.23,75,100,7.63,MH,1698792634
48,pangody,65.85,74.4859,262.3,92,100,4.06,RU,1698792634
49,thompson,55.7435,-97.8558,271.24,69,100,5.66,CA,1698792635
50,richards bay,-28.783,32.0377,288.73,88,100,0.64,ZA,1698792635
